id_artotheque,artwroks_name,firstname,lastname,process,leight_artwroks,height artwotks,fence_length,fence_height,crate_at,get_att,serial,number,get_number,,,,,,,,,,,,,,,,,,,,,,,,diamètre
631,jonathan,GODEBSKI,Porte Folio,Sérigraphie,32,49.6,53,73.3,,2010,,,1,,,,,,,,,,,,,,,,,,,,,,,,
651,PIRat,GODEBSKI,Porte Folio,Sérigraphie,32,49.6,53,73.3,,2010,,,1,,,,,,,,,,,,,,,,,,,,,,,,
